names,links,category
Ginni Rometty,https://en.wikipedia.org/wiki/Ginni_Rometty,Unkown
Cilla Black,https://en.wikipedia.org/wiki/Cilla_Black,Unkown
Mary Wollstonecraft,https://en.wikipedia.org/wiki/Mary_Wollstonecraft,Unkown
Martina Navratilova,https://en.wikipedia.org/wiki/Martina_Navratilova,Unkown
Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep,Unkown
Marie Stopes,https://en.wikipedia.org/wiki/Marie_Stopes,Unkown
Roseanne Barr,https://en.wikipedia.org/wiki/Roseanne_Barr,Unkown
Gloria Steinem,https://en.wikipedia.org/wiki/Gloria_Steinem,Unkown
Shirin Ebadi,https://en.wikipedia.org/wiki/Shirin_Ebadi,Unkown
Fanny Durack,https://en.wikipedia.org/wiki/Fanny_Durack,Unkown
Dian Fossey,https://en.wikipedia.org/wiki/Dian_Fossey,Unkown
Charlotte Whitton,https://en.wikipedia.org/wiki/Charlotte_Whitton,Unkown
Elizabeth Gilbert,https://en.wikipedia.org/wiki/Elizabeth_Gilbert,Unkown
Rosalind Russell,https://en.wikipedia.org/wiki/Rosalind_Russell,Unkown
Emily Murphy,https://en.wikipedia.org/wiki/Emily_Murphy,Unkown
Madonna,https://en.wikipedia.org/wiki/Madonna_%28entertainer%29,Unkown
Lori Greiner,https://en.wikipedia.org/wiki/Lori_Greiner,Unkown
Emma Watson,https://en.wikipedia.org/wiki/Emma_Watson,Unkown
Simone de Beauvoir,https://en.wikipedia.org/wiki/Simone_de_Beauvoir,Unkown
Margaret Thatcher,https://en.wikipedia.org/wiki/Margaret_Thatcher,Unkown
Angela Merkel,https://en.wikipedia.org/wiki/Angela_Merkel,Unkown
Josephine Baker,https://en.wikipedia.org/wiki/Josephine_Baker,Unkown
Sara Josephine Baker,https://en.wikipedia.org/wiki/Sara_Josephine_Baker,Unkown
Ariel Winter,https://en.wikipedia.org/wiki/Ariel_Winter,Unkown
Judy Garland,https://en.wikipedia.org/wiki/Judy_Garland,Unkown
Georgia O'Keeffe,https://en.wikipedia.org/wiki/Georgia_O%27Keeffe,Unkown
Mia Hamm,https://en.wikipedia.org/wiki/Mia_Hamm,Unkown
Ella Fitzgerald,https://en.wikipedia.org/wiki/Ella_Fitzgerald,Unkown
Bette Midler,https://en.wikipedia.org/wiki/Bette_Midler,Unkown
Melissa Etheridge,https://en.wikipedia.org/wiki/Melissa_Etheridge,Unkown
Jodie Foster,https://en.wikipedia.org/wiki/Jodie_Foster,Unkown
Rosalind Franklin,https://en.wikipedia.org/wiki/Rosalind_Franklin,Unkown
Gwen Stefani,https://en.wikipedia.org/wiki/Gwen_Stefani,Unkown
Louisa May Alcott,https://en.wikipedia.org/wiki/Louisa_May_Alcott,Unkown
Pam Grier,https://en.wikipedia.org/wiki/Pam_Grier,Unkown
Edith Wharton,https://en.wikipedia.org/wiki/Edith_Wharton,Unkown
Jada Pinkett Smith,https://en.wikipedia.org/wiki/Jada_Pinkett_Smith,Unkown
Frida Kahlo,https://en.wikipedia.org/wiki/Frida_Kahlo,Unkown
Frida Kahlo Museum,https://en.wikipedia.org/wiki/Frida_Kahlo_Museum,Unkown
Dianne Feinstein,https://en.wikipedia.org/wiki/Dianne_Feinstein,Unkown
Jane Goodall,https://en.wikipedia.org/wiki/Jane_Goodall,Unkown
Grace Kelly,https://en.wikipedia.org/wiki/Grace_Kelly,Unkown
Beyoncé Knowles,https://en.wikipedia.org/wiki/Beyonc%C3%A9_Knowles,Unkown
Joan Beauchamp Procter,https://en.wikipedia.org/wiki/Joan_Beauchamp_Procter,Unkown
Shirley Temple,https://en.wikipedia.org/wiki/Shirley_Temple,Unkown
Grace Hopper,https://en.wikipedia.org/wiki/Grace_Hopper,Unkown
Edith Cavell,https://en.wikipedia.org/wiki/Edith_Cavell,Unkown
Marie Curie,https://en.wikipedia.org/wiki/Marie_Curie,Unkown
Mary McLeod Bethune,https://en.wikipedia.org/wiki/Mary_McLeod_Bethune,Unkown
Harriet Beecher Stowe,https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe,Unkown
Audrey Hepburn,https://en.wikipedia.org/wiki/Audrey_Hepburn,Unkown
Victoria Justice,https://en.wikipedia.org/wiki/Victoria_Justice,Unkown
Kelly Holmes,https://en.wikipedia.org/wiki/Kelly_Holmes,Unkown
Chris Evert,https://en.wikipedia.org/wiki/Chris_Evert,Unkown
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,Unkown
Serena Williams,https://en.wikipedia.org/wiki/Serena_Williams,Unkown
Aung San Suu Kyi,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi,Unkown
Coco Chanel,https://en.wikipedia.org/wiki/Coco_Chanel,Unkown
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,Unkown
Alison Bechdel,https://en.wikipedia.org/wiki/Alison_Bechdel,Unkown
Mae West,https://en.wikipedia.org/wiki/Mae_West,Unkown
Steffi Graf,https://en.wikipedia.org/wiki/Steffi_Graf,Unkown
Eva Perón,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n,Unkown
Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,Unkown
Elizabeth Taylor,https://en.wikipedia.org/wiki/Elizabeth_Taylor,Unkown
Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,Unkown
Virginia Woolf,https://en.wikipedia.org/wiki/Virginia_Woolf,Unkown
Erma Bombeck,https://en.wikipedia.org/wiki/Erma_Bombeck,Unkown
Nina Simone,https://en.wikipedia.org/wiki/Nina_Simone,Unkown
Oprah Winfrey,https://en.wikipedia.org/wiki/Oprah_Winfrey,Unkown
Angelina Jolie,https://en.wikipedia.org/wiki/Angelina_Jolie,Unkown
Agatha Christie,https://en.wikipedia.org/wiki/Agatha_Christie,Unkown
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig,Unkown
Dorothy Hodgkin,https://en.wikipedia.org/wiki/Dorothy_Hodgkin,Unkown
Raymonde de Laroche,https://en.wikipedia.org/wiki/Raymonde_de_Laroche,Unkown
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,Unkown
Shonda Rhimes,https://en.wikipedia.org/wiki/Shonda_Rhimes,Unkown
Eleanor Roosevelt,https://en.wikipedia.org/wiki/Eleanor_Roosevelt,Unkown
Florence Nightingale,https://en.wikipedia.org/wiki/Florence_Nightingale,Unkown
Annie Leibovitz,https://en.wikipedia.org/wiki/Annie_Leibovitz,Unkown
Ann Richards,https://en.wikipedia.org/wiki/Ann_Richards,Unkown
Marjane Satrapi,https://en.wikipedia.org/wiki/Marjane_Satrapi,Unkown
Charlotte Cooper ,https://en.wikipedia.org//wiki/Charlotte_Cooper_(tennis),Unkown
Margaret Sanger,https://en.wikipedia.org/wiki/Margaret_Sanger,Unkown
Germaine Greer,https://en.wikipedia.org/wiki/Germaine_Greer,Unkown
Alice Walker,https://en.wikipedia.org/wiki/Alice_Walker,Unkown
Harriet Chalmers Adams,https://en.wikipedia.org/wiki/Harriet_Chalmers_Adams,Unkown
Irena Sendler,https://en.wikipedia.org/wiki/Irena_Sendler,Unkown
Katie Couric,https://en.wikipedia.org/wiki/Katie_Couric,Unkown
Anna Freud,https://en.wikipedia.org/wiki/Anna_Freud,Unkown
Ellen Johnson Sirleaf,https://en.wikipedia.org/wiki/Ellen_Johnson_Sirleaf,Unkown
Hedy Lamarr,https://en.wikipedia.org/wiki/Hedy_Lamarr,Unkown
Edith Cowan,https://en.wikipedia.org/wiki/Edith_Cowan,Unkown
Julie Andrews,https://en.wikipedia.org/wiki/Julie_Andrews,Unkown
Mary Kay Ash,https://en.wikipedia.org/wiki/Mary_Kay_Ash,Unkown
Fatema Mernissi,https://en.wikipedia.org/wiki/Fatema_Mernissi,Unkown
Katharine Hepburn,https://en.wikipedia.org/wiki/Katharine_Hepburn,Unkown
Jane Addams,https://en.wikipedia.org/wiki/Jane_Addams,Unkown
Fenia Chertkoff,https://en.wikipedia.org/wiki/Fenia_Chertkoff,Unkown
Aimée Julie Cheron,https://en.wikipedia.org/wiki/Aim%C3%A9e_Julie_Cheron,Unkown
Caterina Cherubini,https://en.wikipedia.org/wiki/Caterina_Cherubini,Unkown
Anastasia Chernyavsky,https://en.wikipedia.org/wiki/Anastasia_Chernyavsky,Unkown
Cheryl Byron,https://en.wikipedia.org/wiki/Cheryl_Byron,Unkown
Cher Wang,https://en.wikipedia.org/wiki/Cher_Wang,Unkown
Virginia Cherrill,https://en.wikipedia.org/wiki/Virginia_Cherrill,Unkown
Cheryl Strayed,https://en.wikipedia.org/wiki/Cheryl_Strayed,Unkown
Cherri Pancake,https://en.wikipedia.org/wiki/Cherri_Pancake,Unkown
Cherri M. Pancake,https://en.wikipedia.org/wiki/Cherri_M._Pancake,Unkown
Evelyn Spice Cherry,https://en.wikipedia.org/wiki/Evelyn_Spice_Cherry,Unkown
Cherien Dabis,https://en.wikipedia.org/wiki/Cherien_Dabis,Unkown
Cheryl Dunye,https://en.wikipedia.org/wiki/Cheryl_Dunye,Unkown
Cheryl Foggo,https://en.wikipedia.org/wiki/Cheryl_Foggo,Unkown
Cheryl Hines,https://en.wikipedia.org/wiki/Cheryl_Hines,Unkown
Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,Unkown
Cheryl Ladd,https://en.wikipedia.org/wiki/Cheryl_Ladd,Unkown
Cherami Leigh,https://en.wikipedia.org/wiki/Cherami_Leigh,Unkown
Cheri Oteri,https://en.wikipedia.org/wiki/Cheri_Oteri,Unkown
Cherie Gil,https://en.wikipedia.org/wiki/Cherie_Gil,Unkown
Cherry Lou,https://en.wikipedia.org/wiki/Cherry_Lou,Unkown
Cherry Pie Picache,https://en.wikipedia.org/wiki/Cherry_Pie_Picache,Unkown
Chermarn Boonyasak,https://en.wikipedia.org/wiki/Chermarn_Boonyasak,Unkown
Elizabeth Cheron,https://en.wikipedia.org/wiki/Elizabeth_Cheron,Unkown
Kelly Cherry,https://en.wikipedia.org/wiki/Kelly_Cherry,Unkown
Cherrie Moraga,https://en.wikipedia.org/wiki/Cherrie_Moraga,Unkown
Cherry Wilder,https://en.wikipedia.org/wiki/Cherry_Wilder,Unkown
C. J. Cherryh,https://en.wikipedia.org/wiki/C._J._Cherryh,Unkown
Cherri Bomb,https://en.wikipedia.org/wiki/Cherri_Bomb,Unkown
Cherie Currie,https://en.wikipedia.org/wiki/Cherie_Currie,Unkown
Elena Kats-Chernin,https://en.wikipedia.org/wiki/Elena_Kats-Chernin,Unkown
Cherry Vanilla,https://en.wikipedia.org/wiki/Cherry_Vanilla,Unkown
Neneh Cherry,https://en.wikipedia.org/wiki/Neneh_Cherry,Unkown
Cherie Roberts,https://en.wikipedia.org/wiki/Cherie_Roberts,Unkown
Cheryl Kernot,https://en.wikipedia.org/wiki/Cheryl_Kernot,Unkown
Cheryl Gallant,https://en.wikipedia.org/wiki/Cheryl_Gallant,Unkown
Cheryl Praeger,https://en.wikipedia.org/wiki/Cheryl_Praeger,Unkown
Lyudmila Chernykh,https://en.wikipedia.org/wiki/Lyudmila_Chernykh,Unkown
Cheryl Webb,https://en.wikipedia.org/wiki/Cheryl_Webb,Unkown
Cheryl Miller,https://en.wikipedia.org/wiki/Cheryl_Miller,Unkown
Cherie Piper,https://en.wikipedia.org/wiki/Cherie_Piper,Unkown
Cheryl Baker,https://en.wikipedia.org/wiki/Cheryl_Baker,Unkown
Cher Lloyd,https://en.wikipedia.org/wiki/Cher_Lloyd,Unkown
Cheryl Campbell,https://en.wikipedia.org/wiki/Cheryl_Campbell,Unkown
Cherry Bullet,https://en.wikipedia.org/wiki/Cherry_Bullet,Unkown
Cher,https://en.wikipedia.org/wiki/Cher,Unkown
Cheryl ,https://en.wikipedia.org/wiki/Cheryl_(singer),Unkown
Melissa McCarthy,https://en.wikipedia.org/wiki/Melissa_McCarthy,Unkown
Laverne Cox,https://en.wikipedia.org/wiki/Laverne_Cox,Unkown
Barbra Streisand,https://en.wikipedia.org/wiki/Barbra_Streisand,Unkown
