names,links,category
Ellen MacArthur,https://en.wikipedia.org/wiki/Ellen_MacArthur,Unkown
Ally Carter,https://en.wikipedia.org/wiki/Ally_Carter,Unkown
Eleanor Lambert,https://en.wikipedia.org/wiki/Eleanor_Lambert,Unkown
Jacqueline Bisset,https://en.wikipedia.org/wiki/Jacqueline_Bisset,Unkown
Marissa Mayer,https://en.wikipedia.org/wiki/Marissa_Mayer,Unkown
Karren Brady,https://en.wikipedia.org/wiki/Karren_Brady,Unkown
Coretta Scott-King,https://en.wikipedia.org/wiki/Coretta_Scott_King,Unkown
Doreen Lawrence,https://en.wikipedia.org/wiki/Doreen_Lawrence,Unkown
Sheryl Sandberg,https://en.wikipedia.org/wiki/Sheryl_Sandberg,Unkown
Ellen DeGeneres,https://en.wikipedia.org/wiki/Ellen_DeGeneres,Unkown
Ishita Gupta,https://en.wikipedia.org/wiki/Ishita_Dutta,Unkown
Sampat Pal Devi,https://en.wikipedia.org/wiki/Sampat_Pal_Devi,Unkown
Arlene Blum,https://en.wikipedia.org/wiki/Arlene_Blum,Unkown
Thuli Madonsela,https://en.wikipedia.org/wiki/Thuli_Madonsela,Unkown
Rosalynn Carter,https://en.wikipedia.org/wiki/Rosalynn_Carter,Unkown
Oprah,https://en.wikipedia.org/wiki/Oprah_Winfrey,Unkown
Rosalind Brewer,https://en.wikipedia.org/wiki/Rosalind_Brewer,Unkown
Gilda Radner,https://en.wikipedia.org/wiki/Gilda_Radner,Unkown
Abigail Johnson,https://en.wikipedia.org/wiki/Abigail_Johnson,Unkown
Helen Sharman,https://en.wikipedia.org/wiki/Helen_Sharman,Unkown
Jasvinder Sanghera,https://en.wikipedia.org/wiki/Jasvinder_Sanghera,Unkown
Hoda Kotb,https://en.wikipedia.org/wiki/Hoda_Kotb,Unkown
Lubna Hussein,https://en.wikipedia.org/wiki/Lubna_al-Hussein,Unkown
Naomi Parker Fraley,https://en.wikipedia.org/wiki/Naomi_Parker_Fraley,Unkown
Tanni Grey-Thompson,https://en.wikipedia.org/wiki/Tanni_Grey-Thompson,Unkown
Diana Vreeland,https://en.wikipedia.org/wiki/Diana_Vreeland,Unkown
Mary Warnock,"https://en.wikipedia.org/wiki/Mary_Warnock,_Baroness_Warnock",Unkown
